render_id,canonical_name,category,candidate_1,candidate_2,candidate_3,candidate_4,candidate_1_direction,candidate_1_magnitude,candidate_1_note,candidate_2_direction,candidate_2_magnitude,candidate_2_note,candidate_3_direction,candidate_3_magnitude,candidate_3_note,candidate_4_direction,candidate_4_magnitude,candidate_4_note
c010,拉毗,A 普通直立/紧凑 (拉毗),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c191,爱丽丝,A 普通直立/紧凑 (爱丽丝),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c011,尼恩,A 普通直立/紧凑 (尼恩),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c012,阿妮斯,A 普通直立/紧凑 (阿妮斯),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c070,布丽德,A 普通直立/紧凑 (布丽德),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c072,迪塞尔,A 普通直立/紧凑 (迪塞尔),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c080,桑迪,A 普通直立/紧凑 (桑迪),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c082,丽塔,A 普通直立/紧凑 (丽塔),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c120,N102,A 普通直立/紧凑 (N102),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c172,艾德米,A 普通直立/紧凑 (艾德米),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c170,普丽瓦蒂,B 长发 (普丽瓦蒂),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c221,长发公主,B 长发 (长发公主),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c270,布兰儿,B 长发 (布兰儿),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c010_02,拉毗,B 长发 (拉毗·白色约定),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c016,拉毗：小红帽,C 长枪/背包 (拉毗：小红帽),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c471,白雪公主：重型武装,C 长枪/背包 (白雪公主：重型武装),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c100,拉普拉斯,C 长枪/背包 (拉普拉斯),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c102,麦斯威尔,C 长枪/背包 (麦斯威尔),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c220,白雪公主,C 长枪/背包 (白雪公主),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c330,皇冠,D 机械翼/披风 (皇冠),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c101,德雷克,D 机械翼/披风 (德雷克),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c180,吉萝婷,D 机械翼/披风 (吉洛霆),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c352,海伦,E 宽裙摆 (海伦),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c181,梅登,E 宽裙摆 (梅登),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c233,桃乐丝,E 宽裙摆 (桃乐丝),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c310,爱德,E 宽裙摆 (艾德),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c161,米哈拉,F 偏头/侧脸 (米哈拉),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
c222,红莲,F 偏头/侧脸 (红莲),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,,unreviewed,unreviewed,
