render_id,resource_id,canonical_name,character_name_en,costume_id,costume_name,is_costume,category_code,category,scale,body_axis_x,visual_center_x,bootstrap_width,trusted_width,bootstrap_reliable,bootstrap_support_rows,bootstrap_clean_rows,bootstrap_clean_fraction,bootstrap_half_balance,bootstrap_contaminated_rows,confidence,path_coverage,path_continuity,path_ambiguity,width_reliability,terminated_early,max_vertical_gap,max_untrusted_span,raw_shift_x,applied_shift_x,clamped,face_before,face_after,face_safe,off_artwork_card_bbox,on_artwork_card_bbox,off_clipping,on_clipping,new_edge_clipping,has_new_edge_clipping,clipping_regressions,clipping_review,anchor_kind,portrait_width,portrait_height,face_point_portrait,shift_x,shift_y,reason,over_40px
c010,10,拉毗,Rapi,0,,False,A,A 普通直立/紧凑 (拉毗),3.0901,221.0,221.0,134.5,219.47,True,58,147,0.9423,0.691,7,0.9806,1.0,0.9714,0.9986,1.0,False,0.0,0.0,-10.96,-7.74,False,"[860.0, 610.0]","[852.26, 610.0]",True,"[177.48, 267.33, 1391.9, 2921.75]","[169.75, 267.33, 1384.16, 2921.75]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,425,891,"[236.87043345443783, 126.89138063277824]",-7.74,-0.0,ok,False
c191,191,爱丽丝,Alice,0,,False,A,A 普通直立/紧凑 (爱丽丝),0.8087,787.5,787.5,509.0,587.39,True,158,480,0.7792,0.6677,0,0.9294,1.0,0.9324,0.9987,0.9582,False,0.0,328.0,5.21,3.48,False,"[760.0, 550.0]","[763.48, 550.0]",True,"[209.7, 99.26, 1530.31, 2879.6]","[213.18, 99.26, 1533.8, 2879.6]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,1761,3566,"[744.4747109763516, 621.3574984368197]",3.48,-0.0,ok,False
c011,11,尼恩,Neon,0,,False,A,A 普通直立/紧凑 (尼恩),1.338,870.0,870.0,561.0,498.29,True,253,253,0.4061,0.382,370,0.9393,1.0,0.9245,0.999,0.9821,False,0.0,153.0,162.19,109.69,False,"[760.0, 550.0]","[869.69, 550.0]",True,"[-440.59, 14.38, 1639.94, 4615.61]","[-330.89, 14.38, 1749.63, 4615.61]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,1683,3567,"[961.3266730582191, 464.32981235140824]",109.69,-0.0,ok,True
c012,12,阿妮斯,Anis,0,,False,A,A 普通直立/紧凑 (阿妮斯),1.0341,799.5,799.5,578.0,545.8,True,146,386,0.6338,0.6485,223,0.9867,1.0,0.9816,0.9976,1.0,False,0.0,0.0,45.36,32.22,False,"[760.0, 550.0]","[792.22, 550.0]",True,"[-5.92, 102.8, 1682.73, 3658.99]","[26.3, 102.8, 1714.95, 3658.99]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,1761,3567,"[804.6785299601008, 496.4650926759996]",32.22,-0.0,ok,False
c070,70,布丽德,Brid,0,,False,A,A 普通直立/紧凑 (布丽德),0.9349,1295.5,1295.5,402.0,1489.84,True,163,541,0.8768,0.6831,0,0.9177,1.0,0.9386,0.9535,0.9743,False,0.0,225.0,219.19,128.47,True,"[760.0, 550.0]","[888.47, 550.0]",True,"[-570.52, 171.19, 2246.34, 3384.45]","[-442.04, 171.19, 2374.82, 3384.45]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,3141,3565,"[1487.1622167322942, 469.1863672408913]",128.47,-0.0,ok,True
c072,72,迪塞尔,Diesel,0,,False,A,A 普通直立/紧凑 (迪塞尔),0.9645,959.0,959.0,504.0,804.62,True,390,595,1.0,0.885,0,0.9874,1.0,0.9818,0.9986,1.0,False,0.0,0.0,10.59,7.53,False,"[760.0, 550.0]","[767.53, 550.0]",True,"[-73.81, 163.35, 1998.88, 3480.23]","[-66.28, 163.35, 2006.41, 3480.23]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,2277,3567,"[928.5042503543382, 464.886722482996]",7.53,-0.0,ok,False
c080,80,桑迪,Centi,0,,False,A,A 普通直立/紧凑 (桑迪),1.1256,707.5,707.5,429.0,1005.42,True,291,615,0.9824,0.7188,11,0.9778,1.0,0.9845,0.9795,1.0,False,0.0,0.0,136.46,96.07,False,"[760.0, 550.0]","[856.07, 550.0]",True,"[-60.81, 205.55, 1663.67, 4074.38]","[35.26, 205.55, 1759.74, 4074.38]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,1660,3565,"[793.1950667536087, 370.0017479198882]",96.07,-0.0,ok,True
c082,82,丽塔,Liter,0,,False,A,A 普通直立/紧凑 (丽塔),0.6613,1172.5,1172.5,675.0,634.2,True,199,296,0.4744,0.4669,12,0.9644,1.0,0.9536,0.9906,1.0,False,0.0,0.0,-50.15,-34.82,False,"[760.0, 550.0]","[725.18, 550.0]",True,"[117.09, 216.75, 1296.86, 2489.65]","[82.27, 216.75, 1262.04, 2489.65]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,1912,3565,"[1036.1799417938164, 567.9329633435759]",-34.82,-0.0,ok,False
c120,120,N102,N102,0,,False,A,A 普通直立/紧凑 (N102),0.7775,594.0,594.0,641.0,742.76,True,636,636,1.0,0.8196,0,0.9932,1.0,0.9903,0.9991,1.0,False,0.0,0.0,0.11,0.08,False,"[760.0, 550.0]","[760.08, 550.0]",True,"[387.8, 164.56, 1225.98, 2837.71]","[387.88, 164.56, 1226.05, 2837.71]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,1206,3566,"[542.697199269717, 559.719726807833]",0.08,-0.0,ok,False
c172,172,艾德米,Admi,0,,False,A,A 普通直立/紧凑 (艾德米),0.8495,581.0,581.0,598.0,379.85,True,439,546,0.9286,0.7311,42,0.9763,1.0,0.9666,0.9966,1.0,False,0.0,0.0,91.98,64.65,False,"[760.0, 550.0]","[824.65, 550.0]",True,"[268.82, 61.65, 1458.15, 2982.31]","[333.47, 61.65, 1522.81, 2982.31]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,1528,3566,"[642.1839161480132, 638.8530203302689]",64.65,-0.0,ok,True
