review_id,overall,direction,magnitude,note
YO44MF,unreviewed,unreviewed,unreviewed,
IJ0B52,unreviewed,unreviewed,unreviewed,
0V8V71,unreviewed,unreviewed,unreviewed,
WMQOPI,unreviewed,unreviewed,unreviewed,
4DNDDG,unreviewed,unreviewed,unreviewed,
DUJ6YM,unreviewed,unreviewed,unreviewed,
7PXG3M,unreviewed,unreviewed,unreviewed,
KTBDGP,unreviewed,unreviewed,unreviewed,
1E85MD,unreviewed,unreviewed,unreviewed,
S2B4DT,unreviewed,unreviewed,unreviewed,
5GUJ8O,unreviewed,unreviewed,unreviewed,
14EQH4,unreviewed,unreviewed,unreviewed,
0O09JJ,unreviewed,unreviewed,unreviewed,
SG78BQ,unreviewed,unreviewed,unreviewed,
UCBNR4,unreviewed,unreviewed,unreviewed,
1Y63GR,unreviewed,unreviewed,unreviewed,
CG2Z00,unreviewed,unreviewed,unreviewed,
MHEIXP,unreviewed,unreviewed,unreviewed,
LVCI3A,unreviewed,unreviewed,unreviewed,
M1JV5W,unreviewed,unreviewed,unreviewed,
YZ366O,unreviewed,unreviewed,unreviewed,
Q3636P,unreviewed,unreviewed,unreviewed,
X9DET6,unreviewed,unreviewed,unreviewed,
DV2H7E,unreviewed,unreviewed,unreviewed,
1P99HW,unreviewed,unreviewed,unreviewed,
6J405S,unreviewed,unreviewed,unreviewed,
LFJCMD,unreviewed,unreviewed,unreviewed,
ANZKAI,unreviewed,unreviewed,unreviewed,
17D40E,unreviewed,unreviewed,unreviewed,
MIDTDW,unreviewed,unreviewed,unreviewed,
QL94M2,unreviewed,unreviewed,unreviewed,
2UNJ3A,unreviewed,unreviewed,unreviewed,
S5K32D,unreviewed,unreviewed,unreviewed,
0GKIU3,unreviewed,unreviewed,unreviewed,
YNKI1O,unreviewed,unreviewed,unreviewed,
QHTOFD,unreviewed,unreviewed,unreviewed,
JCHP48,unreviewed,unreviewed,unreviewed,
O3LD51,unreviewed,unreviewed,unreviewed,
02R7GL,unreviewed,unreviewed,unreviewed,
DQYER8,unreviewed,unreviewed,unreviewed,
GYD867,unreviewed,unreviewed,unreviewed,
QTJ1XK,unreviewed,unreviewed,unreviewed,
GJ4EH9,unreviewed,unreviewed,unreviewed,
QQ4GU3,unreviewed,unreviewed,unreviewed,
U32Q3O,unreviewed,unreviewed,unreviewed,
63XGP9,unreviewed,unreviewed,unreviewed,
Z6KUCL,unreviewed,unreviewed,unreviewed,
878JKA,unreviewed,unreviewed,unreviewed,
ZZGR46,unreviewed,unreviewed,unreviewed,
CHH1PX,unreviewed,unreviewed,unreviewed,
37MLM9,unreviewed,unreviewed,unreviewed,
MA4JFX,unreviewed,unreviewed,unreviewed,
RBAEWT,unreviewed,unreviewed,unreviewed,
KSY076,unreviewed,unreviewed,unreviewed,
WVZJ8P,unreviewed,unreviewed,unreviewed,
H7BUCR,unreviewed,unreviewed,unreviewed,
XFDH7Y,unreviewed,unreviewed,unreviewed,
2C05R4,unreviewed,unreviewed,unreviewed,
X1BIRT,unreviewed,unreviewed,unreviewed,
XLPGPE,unreviewed,unreviewed,unreviewed,
66Q09J,unreviewed,unreviewed,unreviewed,
22T5RK,unreviewed,unreviewed,unreviewed,
4BV5BE,unreviewed,unreviewed,unreviewed,
L9TX2A,unreviewed,unreviewed,unreviewed,
TVL1QF,unreviewed,unreviewed,unreviewed,
9B4AH1,unreviewed,unreviewed,unreviewed,
TFKMZV,unreviewed,unreviewed,unreviewed,
XNP253,unreviewed,unreviewed,unreviewed,
YCIV13,unreviewed,unreviewed,unreviewed,
W7X6EQ,unreviewed,unreviewed,unreviewed,
856Z9C,unreviewed,unreviewed,unreviewed,
S16MTD,unreviewed,unreviewed,unreviewed,
9KHSRE,unreviewed,unreviewed,unreviewed,
EZ2QD3,unreviewed,unreviewed,unreviewed,
2IONRP,unreviewed,unreviewed,unreviewed,
QVZXD5,unreviewed,unreviewed,unreviewed,
0EKAFB,unreviewed,unreviewed,unreviewed,
OKFIZ0,unreviewed,unreviewed,unreviewed,
QY5681,unreviewed,unreviewed,unreviewed,
G3F62H,unreviewed,unreviewed,unreviewed,
6PPATP,unreviewed,unreviewed,unreviewed,
UE0OZ0,unreviewed,unreviewed,unreviewed,
YCO2JK,unreviewed,unreviewed,unreviewed,
J19IPJ,unreviewed,unreviewed,unreviewed,
XPSKI1,unreviewed,unreviewed,unreviewed,
DSYTD5,unreviewed,unreviewed,unreviewed,
YMPXJQ,unreviewed,unreviewed,unreviewed,
B89XVF,unreviewed,unreviewed,unreviewed,
JZIZOJ,unreviewed,unreviewed,unreviewed,
JEL26D,unreviewed,unreviewed,unreviewed,
DTL43L,unreviewed,unreviewed,unreviewed,
BDZU5Z,unreviewed,unreviewed,unreviewed,
DIA8GW,unreviewed,unreviewed,unreviewed,
4I8ABE,unreviewed,unreviewed,unreviewed,
WBVN9X,unreviewed,unreviewed,unreviewed,
XC5RDQ,unreviewed,unreviewed,unreviewed,
OXRT0P,unreviewed,unreviewed,unreviewed,
6IYVUM,unreviewed,unreviewed,unreviewed,
N53CJC,unreviewed,unreviewed,unreviewed,
D98CQD,unreviewed,unreviewed,unreviewed,
U5AQBL,unreviewed,unreviewed,unreviewed,
HO4UTY,unreviewed,unreviewed,unreviewed,
C3A6EO,unreviewed,unreviewed,unreviewed,
KX005P,unreviewed,unreviewed,unreviewed,
7YF7R4,unreviewed,unreviewed,unreviewed,
K04M5D,unreviewed,unreviewed,unreviewed,
IKCRM7,unreviewed,unreviewed,unreviewed,
2WD64C,unreviewed,unreviewed,unreviewed,
YFZR7Q,unreviewed,unreviewed,unreviewed,
5T7LOD,unreviewed,unreviewed,unreviewed,
C9RKTZ,unreviewed,unreviewed,unreviewed,
326NI1,unreviewed,unreviewed,unreviewed,
6SJ8YP,unreviewed,unreviewed,unreviewed,
0LA7Z4,unreviewed,unreviewed,unreviewed,
BXQBXW,unreviewed,unreviewed,unreviewed,
IZ5OFT,unreviewed,unreviewed,unreviewed,
BPVRM0,unreviewed,unreviewed,unreviewed,
LZKSEU,unreviewed,unreviewed,unreviewed,
ZDXJMI,unreviewed,unreviewed,unreviewed,
E8RDYW,unreviewed,unreviewed,unreviewed,
M9S53M,unreviewed,unreviewed,unreviewed,
6JQPFH,unreviewed,unreviewed,unreviewed,
YQ7ZLQ,unreviewed,unreviewed,unreviewed,
5HD3EB,unreviewed,unreviewed,unreviewed,
7KJR3A,unreviewed,unreviewed,unreviewed,
HWQTZ8,unreviewed,unreviewed,unreviewed,
QGPDX5,unreviewed,unreviewed,unreviewed,
1RW264,unreviewed,unreviewed,unreviewed,
UVPUS8,unreviewed,unreviewed,unreviewed,
CQJF1O,unreviewed,unreviewed,unreviewed,
0JESQN,unreviewed,unreviewed,unreviewed,
UNINTP,unreviewed,unreviewed,unreviewed,
JLMUKF,unreviewed,unreviewed,unreviewed,
3OES08,unreviewed,unreviewed,unreviewed,
CFO3QH,unreviewed,unreviewed,unreviewed,
E5YU4J,unreviewed,unreviewed,unreviewed,
EWC51J,unreviewed,unreviewed,unreviewed,
1MAQBK,unreviewed,unreviewed,unreviewed,
MCPR9T,unreviewed,unreviewed,unreviewed,
GYQGU6,unreviewed,unreviewed,unreviewed,
AR4X5G,unreviewed,unreviewed,unreviewed,
GVUD3D,unreviewed,unreviewed,unreviewed,
ZPMZPB,unreviewed,unreviewed,unreviewed,
GSZB50,unreviewed,unreviewed,unreviewed,
IF4I0I,unreviewed,unreviewed,unreviewed,
H2O9AJ,unreviewed,unreviewed,unreviewed,
Q2D8OF,unreviewed,unreviewed,unreviewed,
6KQGFY,unreviewed,unreviewed,unreviewed,
93LEZS,unreviewed,unreviewed,unreviewed,
1ZAHGB,unreviewed,unreviewed,unreviewed,
7TWEDM,unreviewed,unreviewed,unreviewed,
D9U620,unreviewed,unreviewed,unreviewed,
I0I966,unreviewed,unreviewed,unreviewed,
CLO31Z,unreviewed,unreviewed,unreviewed,
23KKCS,unreviewed,unreviewed,unreviewed,
F7RNRV,unreviewed,unreviewed,unreviewed,
