render_id,canonical_name,category,category_code,policy,original_v5_shift,candidate_shift,difference_from_v5,face_x_after,face_safe,new_edge_clipping,has_new_edge_clipping,tracking_confidence
c010,拉毗,A 普通直立/紧凑 (拉毗),A,A,-7.74,0.0,7.74,860.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9806
c010,拉毗,A 普通直立/紧凑 (拉毗),A,B,-7.74,-7.74,0.0,852.26,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9806
c010,拉毗,A 普通直立/紧凑 (拉毗),A,C,-7.74,-7.74,0.0,852.26,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9806
c010,拉毗,A 普通直立/紧凑 (拉毗),A,D,-7.74,-7.74,0.0,852.26,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9806
c010,拉毗,A 普通直立/紧凑 (拉毗),A,E,-7.74,-7.74,0.0,852.26,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9806
c191,爱丽丝,A 普通直立/紧凑 (爱丽丝),A,A,3.48,0.0,-3.48,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9294
c191,爱丽丝,A 普通直立/紧凑 (爱丽丝),A,B,3.48,3.48,0.0,763.48,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9294
c191,爱丽丝,A 普通直立/紧凑 (爱丽丝),A,C,3.48,3.48,0.0,763.48,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9294
c191,爱丽丝,A 普通直立/紧凑 (爱丽丝),A,D,3.48,3.48,0.0,763.48,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9294
c191,爱丽丝,A 普通直立/紧凑 (爱丽丝),A,E,3.48,3.48,0.0,763.48,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9294
c011,尼恩,A 普通直立/紧凑 (尼恩),A,A,109.69,0.0,-109.69,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9393
c011,尼恩,A 普通直立/紧凑 (尼恩),A,B,109.69,109.69,0.0,869.69,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9393
c011,尼恩,A 普通直立/紧凑 (尼恩),A,C,109.69,39.99,-69.7,799.99,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9393
c011,尼恩,A 普通直立/紧凑 (尼恩),A,D,109.69,32.0,-77.69,792.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9393
c011,尼恩,A 普通直立/紧凑 (尼恩),A,E,109.69,47.96,-61.73,807.96,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9393
c012,阿妮斯,A 普通直立/紧凑 (阿妮斯),A,A,32.22,0.0,-32.22,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9867
c012,阿妮斯,A 普通直立/紧凑 (阿妮斯),A,B,32.22,32.22,0.0,792.22,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9867
c012,阿妮斯,A 普通直立/紧凑 (阿妮斯),A,C,32.22,30.9,-1.32,790.9,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9867
c012,阿妮斯,A 普通直立/紧凑 (阿妮斯),A,D,32.22,28.28,-3.94,788.28,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9867
c012,阿妮斯,A 普通直立/紧凑 (阿妮斯),A,E,32.22,31.91,-0.31,791.91,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9867
c070,布丽德,A 普通直立/紧凑 (布丽德),A,A,128.47,0.0,-128.47,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9177
c070,布丽德,A 普通直立/紧凑 (布丽德),A,B,128.47,128.47,0.0,888.47,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9177
c070,布丽德,A 普通直立/紧凑 (布丽德),A,C,128.47,40.0,-88.47,800.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9177
c070,布丽德,A 普通直立/紧凑 (布丽德),A,D,128.47,32.0,-96.47,792.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9177
c070,布丽德,A 普通直立/紧凑 (布丽德),A,E,128.47,47.99,-80.48,807.99,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9177
c072,迪塞尔,A 普通直立/紧凑 (迪塞尔),A,A,7.53,0.0,-7.53,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9874
c072,迪塞尔,A 普通直立/紧凑 (迪塞尔),A,B,7.53,7.53,0.0,767.53,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9874
c072,迪塞尔,A 普通直立/紧凑 (迪塞尔),A,C,7.53,7.53,0.0,767.53,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9874
c072,迪塞尔,A 普通直立/紧凑 (迪塞尔),A,D,7.53,7.53,0.0,767.53,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9874
c072,迪塞尔,A 普通直立/紧凑 (迪塞尔),A,E,7.53,7.53,0.0,767.53,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9874
